Project F TMDS Encoding Model from https://projectf.io
d -> q_m -> q_out (MSB first) - 1s: one count, B: bias
O: balance option. 0-7: data, 8: X(N)OR, 9: inverted

         1s  B   O  76543210    876543210    9876543210
=======================================================
  0: XOR (0, 0, A0) 00000000 -> 100000000 -> 0100000000
  1: XOR (8,-8, B0) 00000001 -> 111111111 -> 0111111111
  2: XOR (7, 0, A0) 00000010 -> 111111110 -> 0111111110
  3: XOR (1, 6, B0) 00000011 -> 100000001 -> 0100000001
  4: XOR (6, 0, A0) 00000100 -> 111111100 -> 0111111100
  5: XOR (2, 4, B0) 00000101 -> 100000011 -> 0100000011
  6: XOR (1, 0, A0) 00000110 -> 100000010 -> 0100000010
  7: XOR (7,-6, B0) 00000111 -> 111111101 -> 0111111101
  8: XOR (5, 0, A0) 00001000 -> 111111000 -> 0111111000
  9: XOR (3, 2, B0) 00001001 -> 100000111 -> 0100000111
 10: XOR (2, 0, A0) 00001010 -> 100000110 -> 0100000110
 11: XOR (6,-4, B0) 00001011 -> 111111001 -> 0111111001
 12: XOR (1, 0, A0) 00001100 -> 100000100 -> 0100000100
 13: XOR (7,-6, B0) 00001101 -> 111111011 -> 0111111011
 14: XOR (6, 0, A0) 00001110 -> 111111010 -> 0111111010
 15: XOR (2, 4, B0) 00001111 -> 100000101 -> 0100000101
 16: XOR (4, 0, A0) 00010000 -> 111110000 -> 0111110000
 17: XOR (4, 0, A0) 00010001 -> 100001111 -> 0100001111
 18: XOR (3, 0, A0) 00010010 -> 100001110 -> 0100001110
 19: XOR (5,-2, B0) 00010011 -> 111110001 -> 0111110001
 20: XOR (2, 0, A0) 00010100 -> 100001100 -> 0100001100
 21: XOR (6,-4, B0) 00010101 -> 111110011 -> 0111110011
 22: XOR (5, 0, A0) 00010110 -> 111110010 -> 0111110010
 23: XOR (3, 2, B0) 00010111 -> 100001101 -> 0100001101
 24: XOR (1, 0, A0) 00011000 -> 100001000 -> 0100001000
 25: XOR (7,-6, B0) 00011001 -> 111110111 -> 0111110111
 26: XOR (6, 0, A0) 00011010 -> 111110110 -> 0111110110
 27: XOR (2, 4, B0) 00011011 -> 100001001 -> 0100001001
 28: XOR (5, 0, A0) 00011100 -> 111110100 -> 0111110100
 29: XOR (3, 2, B0) 00011101 -> 100001011 -> 0100001011
 30: XNOR(2, 0, A1) 00011110 -> 010100000 -> 1001011111
 31: XNOR(6, 4, B1) 00011111 -> 001011111 -> 1010100000
 32: XOR (3, 0, A0) 00100000 -> 111100000 -> 0111100000
 33: XOR (5,-2, B0) 00100001 -> 100011111 -> 0100011111
 34: XOR (4, 0, A0) 00100010 -> 100011110 -> 0100011110
 35: XOR (4, 0, A0) 00100011 -> 111100001 -> 0111100001
 36: XOR (3, 0, A0) 00100100 -> 100011100 -> 0100011100
 37: XOR (5,-2, B0) 00100101 -> 111100011 -> 0111100011
 38: XOR (4, 0, A0) 00100110 -> 111100010 -> 0111100010
 39: XOR (4, 0, A0) 00100111 -> 100011101 -> 0100011101
 40: XOR (2, 0, A0) 00101000 -> 100011000 -> 0100011000
 41: XOR (6,-4, B0) 00101001 -> 111100111 -> 0111100111
 42: XOR (5, 0, A0) 00101010 -> 111100110 -> 0111100110
